2024/7/31,70.2,25.9,32.6
2024/8/1,69.6,25.8,32.6
2024/8/2,69.7,25.5,32.9
2024/8/3,69.6,24.9,33.4
2024/8/4,70,25.6,32.8
2024/8/5,69.8,25,33.4
2024/8/6,69.5,25.7,32.7
2024/8/7,69.4,26,32.3
2024/8/8,68.9,26.1,32
2024/8/9,68.3,25.6,32.6
2024/8/10,68.3,25.5,33.1
2024/8/11,68.2,25.6,32.6
2024/8/12,68.4,25.5,32.7
2024/8/13,69,25.3,33
2024/8/14,68.8,25.1,33.2
2024/8/15,69.2,25.3,33.1
2024/8/16,69,25.2,33.2
2024/8/17,68.5,25.5,32.8
2024/8/18,69.4,24.6,33.7
2024/8/19,69.7,25.2,33.2
2024/8/20,69.4,24.5,33.8
2024/8/21,70.5,23.7,34.3
2024/8/22,70.1,24.4,33.9
2024/8/23,69.5,25,33.4
2024/8/24,69.4,25.5,32.9
2024/8/25,69.7,25.1,33.3
2024/8/26,69.6,25.2,33.2
2024/8/27,69.9,25.3,33.2
2024/8/28,69.4,25,33.4
2024/8/29,69.3,24.5,33.8
2024/8/30,70.1,24.3,33.9
2024/8/31,70.2,24.9,33.5
2024/9/1,70.1,25.4,33.1
2024/9/2,69.8,25.1,33.3
2024/9/3,69.6,25,33.3
2024/9/4,69.3,25.4,33
2024/9/5,69.7,24.8,33.6
2024/9/6,70,24.8,33.6
2024/9/7,70.3,23.3,34.6
2024/9/8,70.1,25.2,33.2
2024/9/9,69.4,25.1,33.3
2024/9/10,68.9,25.5,32.8
2024/9/11,68.8,25.3,32.9
2024/9/12,68.9,25.4,33
2024/9/13,69.2,25.1,33.2
2024/9/14,68.8,25.3,32.9
2024/9/15,69.2,25.2,33.2
2024/9/16,69.2,25.2,33.2
2024/9/17,69,25.7,32.6
2024/9/18,68.5,25.4,32.8
2024/9/19,68.3,25.6,32.6
2024/9/20,68.5,24.8,33.5
2024/9/21,69.5,25.3,33.1
2024/9/22,69.4,25,33.4
2024/9/23,69.1,24.7,33.6
2024/9/24,68.6,25.7,32.5
2024/9/25,69,24.5,33.8
2024/9/26,68.7,25.2,33.1
2024/9/27,69,25.3,33
2024/9/28,68.9,25.5,32.8
2024/9/29,68.7,24.8,33.4
2024/9/30,68.7,24.9,33.3
2024/10/1,68.9,25.3,33
2024/10/2,68.7,25.2,33.1
2024/10/3,69.1,24.7,33.6
2024/10/4,69.2,25,33.3
2024/10/5,68.6,24.9,33.4
2024/10/6,68.1,25.2,32.9
2024/10/7,68.4,25.7,32.4
2024/10/8,68.3,25,33.2
2024/10/9,68.2,25.6,33.6
2024/10/10,68.6,25.9,32.2
2024/10/11,68.6,25.9,32.2
2024/10/12,68.7,25.6,32.6
2024/10/13,69.2,25.7,32.6
2024/10/14,68.7,25.6,32.6
2024/10/15,69,25.5,32.8
2024/10/16,68.8,25.2,33
2024/10/17,68.5,25.4,32.8
2024/10/18,69.1,21.9,35.6
2024/10/19,69.2,25.4,33
2024/10/20,69.6,24.9,33.4
2024/10/21,69.5,25.6,32.8
2024/10/22,68.6,26,32
2024/10/23,68.9,25.8,32.4
2024/10/24,69.3,25.3,33.1
2024/10/25,69.7,24.8,33.6
2024/10/26,70,25.4,33
2024/10/27,70.4,26.1,32.4
2024/10/28,70.3,25.5,32.9
2024/10/29,69.6,26.1,32.1
2024/10/30,69.3,26.2,32
2024/10/31,70.1,25.7,32.7
2024/11/1,70.1,26.3,32
2024/11/2,70.1,26.1,32.3
2024/11/3,69.7,26.2,32
2024/11/4,70.2,26.2,32.2
2024/11/5,70.7,26.1,32.4
2024/11/6,70.2,26.3,32.1
2024/11/7,70.7,26.5,32
2024/11/8,68.8,26.1,32
2024/11/9,68.2,26.1,31.7
2024/11/10,68.3,26,31.9
2024/11/11,67.6,25.9,31.7
2024/11/12,68.1,25.9,32
2024/11/13,68.7,26.1,31.9
2024/11/14,68.5,26.1,31.9
2024/11/15,68.8,26.1,31.9
2024/11/16,69.4,25.8,32.2
2024/11/17,70,26.2,32.2
2024/11/18,69.4,26,32.3
2024/11/19,69.6,26.4,31.7
2024/11/20,69.4,26.6,31.1
2024/11/21,69.8,26.7,31.3
2024/11/22,70.5,26.5,31.8
2024/11/23,70.7,26.1,32.4
2024/11/24,70.3,26.3,32.1
2024/11/25,69.9,26.5,31.7
2024/11/26,70.2,26.9,31.2
2024/11/27,70.8,26.3,32.2
2024/11/28,70.6,26.6,31.7
2024/11/29,70.3,26.8,31.3
2024/11/30,70.9,26.4,32.1
2024/12/1,70.5,26.2,32.3
2024/12/2,71,26.4,32.1
2024/12/3,71.2,26.7,31.7
2024/12/4,70.5,25.8,32.6
2024/12/5,71,25.6,23.9
2024/12/6,71.3,26.7,31.8
2024/12/7,71.1,26.8,31.7
2024/12/8,71.6,26.1,32.5
2024/12/9,70.9,26.7,31.8
2024/12/10,70.6,26.7,31.5
2024/12/11,71,27.1,31
2024/12/12,71.1,26.3,32.2
2024/12/13,70.5,26.7,31.5
2024/12/14,71.5,26.5,32.1
2024/12/15,72.2,26.5,32.2
2024/12/16,71.7,26.4,32.2
2024/12/17,71.6,26,32.6
2024/12/18,71.5,26.3,32.3
2024/12/19,71.4,26.5,32.1
2024/12/20,72.5,26.9,31.8
2024/12/21,72.2,26.7,31.9
2024/12/22,72.2,26,32.6
2024/12/23,71.8,27.4,31
2024/12/24,70.9,26.8,31.5
2024/12/25,72.1,26.6,32.1
2024/12/26,71.9,26.8,31.8
2024/12/27,72.1,26.3,32.3
2024/12/28,72.5,27.1,31.6
2024/12/29,72.2,26.8,31.8
2024/12/30,72.4,27,31.6
2024/12/31,72.6,26.8,31.9
2025/1/1,72.1,26.9,31.8
2025/1/2,72.7,26.6,32.1
2025/1/3,72.2,26.4,32.3
2025/1/4,72.6,26.9,31.8
2025/1/5,72.3,27.1,31.6
2025/1/6,71.6,27,31.6
2025/1/7,72.1,26.8,31.8
2025/1/8,73.3,26.9,31.9
2025/1/9,73.2,26.1,32.5
2025/1/10,72.9,27,31.7
2025/1/11,73.2,26.3,32.4
2025/1/12,72.4,27.3,31.3
2025/1/13,73,27.1,31.7
2025/1/14,73.6,27,31.8
2025/1/15,73.6,27,31.8
2025/1/16,73.8,27.1,31.7
2025/1/17,74.1,27,31.9
2025/1/18,73.5,26.7,32.1
2025/1/19,73.9,27.1,31.7
2025/1/20,73.9,27.1,31.7
2025/1/21,72.9,26.8,32
2025/1/22,73.6,25,33.4
2025/1/23,73.1,26.8,32
2025/1/24,74,26.6,32.2
2025/1/25,73.4,26.7,32.1
2025/1/26,73.6,26.9,31.9
2025/1/27,73.1,26.4,32.3
2025/1/28,72.9,26.4,32.3
2025/1/29,72.9,26.8,32
2025/1/30,72.6,26.9,31.8
2025/1/31,72.3,27,31.6
2025/2/1,72.2,27.2,31.4
2025/2/2,73.3,27.2,31.6
2025/2/3,72.7,26.5,32.2
2025/2/4,72.3,27.1,31.5
